Watchlist 'DJIM'

DJIM
Symbol,%Change,Last,PE
CXO,0.00%,130.05,-12.75
DOV,0.00%,70.16,22.42
EQT,0.00%,67.14,-27.29
EXPE,0.00%,125.67,109.3
HSIC,0.00%,156.96,26.07
SJM,0.00%,124.85,20.53
JNPR,0.00%,26.35,17.11
KSU,0.00%,87.57,19.42
LRCX,0.00%,104.71,20.82
LLTC,0.00%,61.00,30.05
PANW,0.00%,161.35,-62.3
RHT,0.00%,79.03,66.41
NOW,0.00%,85.75,-30.73
SRCL,0.00%,76.09,24.39
TRIP,0.00%,50.79,61.19
VRSK,0.00%,83.16,24.03
VMC,0.00%,128.00,46.55
AAP,0.00%,162.57,26.65
CHRW,0.00%,74.40,20.61
CHD,0.00%,44.79,25.82
CTXS,0.00%,86.82,29.13
EFX,0.00%,121.23,30.69
FAST,0.00%,44.80,26.05
JBHT,0.00%,91.47,24.2
IFF,0.00%,119.78,23.81
JAZZ,0.00%,109.25,19.1
KLAC,0.00%,80.04,16.14
NWL,0.00%,46.74,48.69
QRVO,0.00%,55.28,-290.9
SPLS,0.00%,9.60,-13.52
TSCO,0.00%,72.91,23.15
VMW,0.00%,80.14,30.47
XLNX,0.00%,52.98,23.65
ALKS,0.00%,58.44,-34.38
ALNY,0.00%,45.975,-10.1
CTAS,0.00%,111.71,16.95
CTRP,0.00%,42.02,17.08
EXPD,0.00%,51.50,21.82
FLR,0.00%,51.34,43.51
FMC,0.00%,54.02,-675.3
FTI,0.00%,34.26,74.48
GRMN,0.00%,51.71,19.29
HAR,0.00%,109.35,20.87
MLM,0.00%,219.67,34.65
MDVN,0.00%,81.44,54.11
PII,0.00%,83.93,21.19
RL,0.00%,110.28,47.53
RRC,0.00%,34.02,-8.463
ST,0.00%,36.68,15.16
SIG,0.00%,88.96,13.58
ULTA,0.00%,250.09,44.03
VAR,0.00%,88.25,22.4
WAT,0.00%,135.18,22.2
WDAY,0.00%,82.75,-46.23
ALK,0.00%,79.47,11.13
DOX,0.00%,57.74,21.79
XEC,0.00%,125.66,-10.63
FFIV,0.00%,142.01,26.4
FLS,0.00%,45.98,39.98
FL,0.00%,71.78,17.81
HAS,0.00%,84.28,20.02
HP,0.00%,68.25,-682.5
LULU,0.00%,54.61,28.15
MAT,0.00%,30.52,29.07
MXIM,0.00%,40.09,26.38
MKC,0.00%,91.20,25.19
MTD,0.00%,414.97,30.76
MCHP,0.00%,64.57,293.5
PHM,0.00%,18.84,12
RMD,0.00%,58.53,23.89
RHI,0.00%,44.76,16.16
SNA,0.00%,167.77,18.72
SWN,0.00%,10.54,-.9071
SPLK,0.00%,59.88,-22.94
VAL,0.00%,101.38,23.31
WAB,0.00%,85.63,21.57
WLK,0.00%,52.83,16.88
ANSS,0.00%,93.36,31.76
COO,0.00%,172.00,33.66
XRAY,0.00%,60.16,31.83
FBHS,0.00%,57.59,23.04
IT,0.00%,103.26,45.09
HRS,0.00%,103.57,38.65
HFC,0.00%,27.35,-13.88
N,0.00%,90.34,-54.1
